pmid,sentence,format,population,purpose,label
25867139,"Randomized phase II/III clinical trial of elpamotide for patients with advanced pancreatic cancer: PEGASUS-PC Study.Gemcitabine is a key drug for the treatment of pancreatic cancer; however, with its limitation in clinical benefits, the development of another potent therapeutic is necessary.Vascular endothelial growth factor receptor 2 is an essential target for tumor angiogenesis, and we have conducted a phase I clinical trial using gemcitabine and vascular endothelial growth factor receptor 2 peptide (elpamotide).Based on the promising results of this phase I trial, a multicenter, randomized, placebo-controlled, double-blind phase II/III clinical trial has been carried out for pancreatic cancer.The eligibility criteria included locally advanced or metastatic pancreatic cancer.Patients were assigned to either the Active group (elpamotide + gemcitabine) or Placebo group (placebo + gemcitabine) in a 2:1 ratio by the dynamic allocation method.The primary endpoint was overall survival.The Harrington-Fleming test was applied to the statistical analysis in this study to evaluate the time-lagged effect of immunotherapy appropriately.A total of 153 patients (Active group, n = 100; Placebo group, n = 53) were included in the analysis.No statistically significant differences were found between the two groups in the prolongation of overall survival (Harrington-Fleming P-value, 0.918; log-rank P-value, 0.897; hazard ratio, 0.87, 95% confidence interval [CI], 0.486-1.557).Median survival time was 8.36 months (95% CI, 7.46-10.18) for the Active group and 8.54 months (95% CI, 7.33-10.84) for the Placebo group.The toxicity observed in both groups was manageable.Combination therapy of elpamotide with gemcitabine was well tolerated.Despite the lack of benefit in overall survival, subgroup analysis suggested that the patients who experienced severe injection site reaction, such as ulceration and erosion, might have better survival.",1,1,1,0
32001832,"Predictive factors of 5-year relapse-free survival in HR+/HER2- breast cancer patients treated with neoadjuvant endocrine therapy: pooled analysis of two phase 2 trials.BACKGROUND: Few data are available on survival and predictive factors in early breast cancer (BC) patients treated with neoadjuvant endocrine therapy (NET).METHODS: This is a pooled analysis of two multicentre, randomised non-comparative phase 2 clinical trials evaluating neoadjuvant anastrozole and fulvestrant efficacy for postmenopausal HR+/HER2- breast cancer patients: HORGEN (NCT00871858) and CARMINA02 (NCT00629616) studies.RESULTS: In total, 236 patients were included in CARMINA02 and HORGEN trials.Modified intention-to-treat analysis was available for 217 patients.Median follow-up was 65.2 months.Relapse-free survival (RFS) and overall survival (OS) at 5 years were 83.7% (95% CI: 77.9-88) and 92.7% (95% CI: 88.2-95.6), respectively, with no difference between treatment arms.On univariate analysis, tumour staging (T2 vs T3-4; p = 0.0001), Ki-67 at surgery (</=10% vs >10%; p = 0.0093), pathological tumour size (pT1-2 vs pT3-4; p = 0.0012) and node status (pN negative vs positive; p = 0.007), adjuvant chemotherapy (p = 0.0167) and PEPI score (PEPI group I + II vs III; p = 0.0004) were associated with RFS.No events were observed in patients with pathological response according to the Sataloff classification.Multivariate analysis showed that preoperative endocrine prognostic index (PEPI) group III was associated with significantly worse RFS (p = 0.0069, hazard ratio = 3.33 (95% CI: 1.39-7.98)).CONCLUSIONS: Postmenopausal HR+/HER2- breast cancer patients receiving NET generally have a favourable outcome.The PEPI score identifies a subset of patients of poorer prognosis who are candidates for further additional treatment.",0,0,0,0
23019151,"Radiation therapy following surgery for localized breast cancer: outcome prediction by classical prognostic factors and approximated genetic subtypes.The purpose of this study was to evaluate the outcome prediction power of classical prognostic factors along with surrogate approximation of genetic signatures (AGS) subtypes in patients affected by localized breast cancer (BC) and treated with postoperative radiotherapy.We retrospectively analyzed 468 consecutive female patients affected by localized BC with complete immunohistochemical and pathological information available.All patients underwent surgery plus radiotherapy.Median follow-up was 59 months (range, 6-132) from the diagnosis.Disease recurrences (DR), local and/or distant, and contralateral breast cancer (CBC) were registered and analyzed in relation to subtypes (luminal A, luminal B, HER-2, and basal), and classical prognostic factors (PFs), namely age, nodal status (N), tumor classification (T), grading (G), estrogen receptors (ER), progesterone receptors and erb-B2 status.Bootstrap technique for variable selection and bootstrap resampling to test selection stability were used.Regarding AGS subtypes, HER-2 and basal were more likely to recur than luminal A and B subtypes, while patients in the basal group were more likely to have CBC.However, considering PFs along with AGS subtypes, the optimal multivariable predictive model for DR consisted of age, T, N, G and ER.A single-variable model including basal subtype resulted again as the optimal predictive model for CBC.In patients bearing localized BC the combination of classical clinical variables age, T, N, G and ER was still confirmed to be the best predictor of DR, while the basal subtype was demonstrated to be significantly and exclusively correlated with CBC.",0,0,0,0
25670810,"Leadership training to improve adenoma detection rate in screening colonoscopy: a randomised trial.OBJECTIVE: Suboptimal adenoma detection rate (ADR) at colonoscopy is associated with increased risk of interval colorectal cancer.It is uncertain how ADR might be improved.We compared the effect of leadership training versus feedback only on colonoscopy quality in a countrywide randomised trial.DESIGN: 40 colonoscopy screening centres with suboptimal performance in the Polish screening programme (centre leader ADR </= 25% during preintervention phase January to December 2011) were randomised to either a Train-Colonoscopy-Leaders (TCLs) programme (assessment, hands-on training, post-training feedback) or feedback only (individual quality measures).Colonoscopies performed June to December 2012 (early postintervention) and January to December 2013 (late postintervention) were used to calculate changes in quality measures.Primary outcome was change in leaders' ADR.Mixed effect models using ORs and 95% CIs were computed.RESULTS: The study included 24,582 colonoscopies performed by 38 leaders and 56,617 colonoscopies performed by 138 endoscopists at the participating centres.The absolute difference between the TCL and feedback groups in mean ADR improvement of leaders was 7.1% and 4.2% in early and late postintervention phases, respectively.The TCL group had larger improvement in ADR in early (OR 1.61; 95% CI 1.29 to 2.01; p<0.001) and late (OR 1.35; 95% CI 1.10 to 1.66; p=0.004) postintervention phases.In the late postintervention phase, the absolute difference between the TCL and feedback groups in mean ADR improvement of entire centres was 3.9% (OR 1.25; 95% CI 1.04 to 1.50; p=0.017).CONCLUSIONS: Teaching centre leaders in colonoscopy training improved important quality measures in screening colonoscopy.TRIAL REGISTRATION NUMBER: NCT01667198.",1,0,0,0
23177515,"Efficacy and safety of regorafenib for advanced gastrointestinal stromal tumours after failure of imatinib and sunitinib (GRID): an international, multicentre, randomised, placebo-controlled, phase 3 trial.BACKGROUND: Until now, only imatinib and sunitinib have proven clinical benefit in patients with gastrointestinal stromal tumours (GIST), but almost all metastatic GIST eventually develop resistance to these agents, resulting in fatal disease progression.We aimed to assess efficacy and safety of regorafenib in patients with metastatic or unresectable GIST progressing after failure of at least imatinib and sunitinib.METHODS: We did this phase 3 trial at 57 hospitals in 17 countries.Patients with histologically confirmed, metastatic or unresectable GIST, with failure of at least previous imatinib and sunitinib were randomised in a 2:1 ratio (by computer-generated randomisation list and interactive voice response system; preallocated block design (block size 12); stratified by treatment line and geographical region) to receive either oral regorafenib 160 mg daily or placebo, plus best supportive care in both groups, for the first 3 weeks of each 4 week cycle.The study sponsor, participants, and investigators were masked to treatment assignment.The primary endpoint was progression-free survival (PFS).At disease progression, patients assigned placebo could crossover to open-label regorafenib.Analyses were by intention to treat.This trial is registered with ClinicalTrials.gov, number NCT01271712.RESULTS: From Jan 4, to Aug 18, 2011, 240 patients were screened and 199 were randomised to receive regorafenib (n=133) or matching placebo (n=66).Data cutoff was Jan 26, 2012.Median PFS per independent blinded central review was 4.8 months (IQR 1.4-9.2) for regorafenib and 0.9 months (0.9-1.8) for placebo (hazard ratio [HR] 0.27, 95% CI 0.19-0.39; p<0.0001).After progression, 56 patients (85%) assigned placebo crossed over to regorafenib.Drug-related adverse events were reported in 130 (98%) patients assigned regorafenib and 45 (68%) patients assigned placebo.The most common regorafenib-related adverse events of grade 3 or higher were hypertension (31 of 132, 23%), hand-foot skin reaction (26 of 132, 20%), and diarrhoea (seven of 132, 5%).INTERPRETATION: The results of this study show that oral regorafenib can provide a significant improvement in progression-free survival compared with placebo in patients with metastatic GIST after progression on standard treatments.As far as we are aware, this is the first clinical trial to show benefit from a kinase inhibitor in this highly refractory population of patients.FUNDING: Bayer HealthCare Pharmaceuticals.",1,1,1,0
23428284,"Health beliefs associated with cervical cancer screening among Vietnamese Americans.BACKGROUND: Vietnamese American women represent one of the ethnic subgroups at great risk for cervical cancer in the United States.The underutilization of cervical cancer screening and the vulnerability of Vietnamese American women to cervical cancer may be compounded by their health beliefs.OBJECTIVE: The objective of this study was to explore the associations between factors of the Health Belief Model (HBM) and cervical cancer screening among Vietnamese American women.METHODS: Vietnamese American women (n=1,450) were enrolled into the randomized controlled trial (RCT) study who were recruited from 30 Vietnamese community-based organizations located in Pennsylvania and New Jersey.Participants completed baseline assessments of demographic and acculturation variables, health care access factors, and constructs of the HBM, as well as health behaviors in either English or Vietnamese.RESULTS: The rate of those who had ever undergone cervical cancer screening was 53% (769/1450) among the participants.After adjusting for sociodemographic variables, the significant associated factors from HBM included: believing themselves at risk and more likely than average women to get cervical cancer; believing that cervical cancer changes life; believing a Pap test is important for staying healthy, not understanding what is done during a Pap test, being scared to know having cervical cancer; taking a Pap test is embarrassing; not being available by doctors at convenient times; having too much time for a test; believing no need for a Pap test when feeling well; and being confident in getting a test.CONCLUSION: Understanding how health beliefs may be associated with cervical cancer screening among underserved Vietnamese American women is essential for identifying the subgroup of women who are most at risk for cervical cancer and would benefit from intervention programs to increase screening rates.",0,0,0,0
30297911,"Neoadjuvant versus adjuvant ipilimumab plus nivolumab in macroscopic stage III melanoma.Adjuvant ipilimumab (anti-CTLA-4) and nivolumab (anti-PD-1) both improve relapse-free survival of stage III melanoma patients(1,2).In stage IV disease, the combination of ipilimumab + nivolumab is superior to ipilimumab alone and also appears to be more effective than nivolumab monotherapy(3).Preclinical work suggests that neoadjuvant application of checkpoint inhibitors may be superior to adjuvant therapy(4).To address this question and to test feasibility, 20 patients with palpable stage III melanoma were 1:1 randomized to receive ipilimumab 3 mg kg(-1) and nivolumab 1 mg kg(-1), as either four courses after surgery (adjuvant arm) or two courses before surgery and two courses postsurgery (neoadjuvant arm).Neoadjuvant therapy was feasible, with all patients undergoing surgery at the preplanned time point.However in both arms, 9/10 patients experienced one or more grade 3/4 adverse events.Pathological responses were achieved in 7/9 (78%) patients treated in the neoadjuvant arm.None of these patients have relapsed so far (median follow-up, 25.6 months).We found that neoadjuvant ipilimumab + nivolumab expand more tumor-resident T cell clones than adjuvant application.While neoadjuvant therapy appears promising, with the current regimen it induced high toxicity rates; therefore, it needs further investigation to preserve efficacy but reduce toxicity.",1,1,1,0
27007018,"Effect of a Perioperative Nutritional Supplementation with Oral Impact(R) in Patients undergoing Hepatic Surgery for Liver Cancer: A Prospective, Placebo-Controlled, Randomized, Double-Blind Study.Perioperative nutrition with supplements containing L-arginine, omega3-polyunsaturated fatty acids, and nucleotides could boost liver function recovery, immune response, and resistance to infection after hepatic resection.We conducted a placebo-controlled, randomized, double-blind study to assess the effect of a perioperative nutritional supplementation with Oral Impact(R) in patients undergoing hepatic surgery for liver cancer.Treatment was given three times daily for 7 days before and 3 days after surgery.Primary outcome was factor V, 3 days after surgery.Thirty-five patients (placebo: 17; Oral Impact: 18) were included.Five patients (placebo: three; Oral Impact: two) were not operated and five (placebo: two; Oral Impact: three) did not undergo hepatic resection.Factor V (mean +/- SD) was 70 +/- 27% and 79 +/- 25% (P = 0.409) 3 days after surgery and 90 +/- 30% and 106 +/- 16% (P = 0.066) 5 days after surgery, in placebo and Oral Impact groups, respectively.There were no significant differences between groups on other outcomes assessing liver function recovery (bile production, gamma-glutamyl transferase, alpha-fetoprotein), immune response (CD3, CD4, CD8 cells, CD4/CD8 ratio, natural killer cells, B lymphocytes), number of infections, and tolerance.A 10-day perioperative nutritional supplementation with Oral Impact does not improve hepatic function, immune response, and resistance to infection in patients undergoing hepatic surgery for liver cancer.",1,1,0,0
23433739,"Bendamustine plus rituximab versus CHOP plus rituximab as first-line treatment for patients with indolent and mantle-cell lymphomas: an open-label, multicentre, randomised, phase 3 non-inferiority trial.BACKGROUND: Rituximab plus chemotherapy, most often CHOP (cyclophosphamide, doxorubicin, vincristine, and prednisone), is the first-line standard of care for patients with advanced indolent lymphoma, and for elderly patients with mantle-cell lymphoma.Bendamustine plus rituximab is effective for relapsed or refractory disease.We compared bendamustine plus rituximab with CHOP plus rituximab (R-CHOP) as first-line treatment for patients with indolent and mantle-cell lymphomas.METHODS: We did a prospective, multicentre, randomised, open-label, non-inferiority trial at 81 centres in Germany between Sept 1, 2003, and Aug 31, 2008.Patients aged 18 years or older with a WHO performance status of 2 or less were eligible if they had newly diagnosed stage III or IV indolent or mantle-cell lymphoma.Patients were stratified by histological lymphoma subtype, then randomly assigned according to a prespecified randomisation list to receive either intravenous bendamustine (90 mg/m(2) on days 1 and 2 of a 4-week cycle) or CHOP (cycles every 3 weeks of cyclophosphamide 750 mg/m(2), doxorubicin 50 mg/m(2), and vincristine 1.4 mg/m(2) on day 1, and prednisone 100 mg/day for 5 days) for a maximum of six cycles.Patients in both groups received rituximab 375 mg/m(2) on day 1 of each cycle.Patients and treating physicians were not masked to treatment allocation.The primary endpoint was progression-free survival, with a non-inferiority margin of 10%.Analysis was per protocol.This study is registered with ClinicalTrials.gov, number NCT00991211, and the Federal Institute for Drugs and Medical Devices of Germany, BfArM 4021335.FINDINGS: 274 patients were assigned to bendamustine plus rituximab (261 assessed) and 275 to R-CHOP (253 assessed).At median follow-up of 45 months (IQR 25-57), median progression-free survival was significantly longer in the bendamustine plus rituximab group than in the R-CHOP group (69.5 months [26.1 to not yet reached] vs 31.2 months [15.2-65.7]; hazard ratio 0.58, 95% CI 0.44-0.74; p<0.0001).Bendamustine plus rituximab was better tolerated than R-CHOP, with lower rates of alopecia (0 patients vs 245 (100%) of 245 patients who recieved >/=3 cycles; p<0.0001), haematological toxicity (77 [30%] vs 173 [68%]; p<0.0001), infections (96 [37%] vs 127 [50%]); p=0.0025), peripheral neuropathy (18 [7%] vs 73 [29%]; p<0.0001), and stomatitis (16 [6%] vs 47 [19%]; p<0.0001).Erythematous skin reactions were more common in patients in the bendamustine plus rituximab group than in those in the R-CHOP group (42 [16%] vs 23 [9%]; p=0.024).INTERPRETATION: In patients with previously untreated indolent lymphoma, bendamustine plus rituximab can be considered as a preferred first-line treatment approach to R-CHOP because of increased progression-free survival and fewer toxic effects.FUNDING: Roche Pharma AG, Ribosepharm/Mundipharma GmbH.",1,1,1,0
30640653,"Interfascial block at the serratus muscle plane versus conventional analgesia in breast surgery: a randomized controlled trial.BACKGROUND AND OBJECTIVES: In the context of opioid-sparing perioperative management, there is still little evidence from randomized controlled trials regarding the effectiveness of interfascial thoracic blocks.This study hypothesizes that receiving a serratus plane block reduces opioid requirements, pain scores, and rescue medication needs.METHODS: This double-blind, randomized controlled study was conducted on 60 adult females undergoing oncologic breast surgery.After general anesthesia, patients were randomly allocated to either conventional analgesia (control group, n=30) or single-injection serratus block with L-bupivacaine 0.25% 30mL (study group, n=30).First 24-hour total morphine consumption (primary outcome), pain scores at 1, 3, 6, 12, and 24 hours, time-to-first opioid rescue analgesia, and adverse effects were recorded.RESULTS: Median 24 hours' opioid dose was greater in the control group (median difference 9 mg (95% CI 4 to 14.5 mg); p<0.001).Proportional odds model showed that the study group has a lower probability of receiving opioid drugs (OR=0.26 (95% CI 0.10 to 0.68); p<0.001), while mastectomies have a higher probability of receiving them (OR=4.11 (95% CI 1.25 to 13.58); p=0.002).Pain scores in the study group were significantly lower throughout the follow-up period (p<0.001).Control group subjects needed earlier morphine rescue and had a higher risk of rescue dose requirement (p=0.002).CONCLUSIONS: Interfascial serratus plane block reduces opioid requirements and is associated with better pain scores and lower and later rescue analgesia needs in the first 24 hours, compared with conventional intravenous analgesia, in breast surgery.TRIAL REGISTRATION NUMBER: NCT02905149.",1,1,0,0
