pmid,sentence,format,population,purpose,label
22565002,"Randomized phase II trial of everolimus in combination with tamoxifen in patients with hormone receptor-positive, human epidermal growth factor receptor 2-negative metastatic breast cancer with prior exposure to aromatase inhibitors: a GINECO study.PURPOSE: Cross-talk between signal transduction pathways likely contributes to hormone resistance in metastatic breast cancer (mBC).Everolimus, an oral inhibitor of the mammalian target of rapamycin, has restored sensitivity in endocrine-resistance models and shown anticancer activity in early-phase mBC clinical trials.This analysis evaluated efficacy and safety of everolimus in combination with tamoxifen in patients with mBC resistant to aromatase inhibitors (AIs).PATIENTS AND METHODS: This open-label, phase II study randomly assigned postmenopausal women with hormone receptor-positive, human epidermal growth factor receptor 2-negative, AI-resistant mBC to tamoxifen 20 mg/d plus everolimus 10 mg/d (n = 54) or tamoxifen 20 mg/d alone (n = 57).Randomization was stratified by primary and secondary hormone resistance.Primary end point was clinical benefit rate (CBR), defined as the percentage of all patients with a complete or partial response or stable disease at 6 months.No formal statistical comparison between groups was planned.RESULTS: The 6-month CBR was 61% (95% CI, 47 to 74) with tamoxifen plus everolimus and 42% (95% CI, 29 to 56) with tamoxifen alone.Time to progression (TTP) increased from 4.5 months with tamoxifen alone to 8.6 months with tamoxifen plus everolimus, corresponding to a 46% reduction in risk of progression with the combination (hazard ratio [HR], 0.54; 95% CI, 0.36 to 0.81).Risk of death was reduced by 55% with tamoxifen plus everolimus versus tamoxifen alone (HR, 0.45; 95% CI, 0.24 to 0.81).The main toxicities associated with tamoxifen plus everolimus were fatigue (72% v 53% with tamoxifen alone), stomatitis (56% v 7%), rash (44% v 7%), anorexia (43% v 18%), and diarrhea (39% v 11%).CONCLUSION: This study suggests that tamoxifen plus everolimus increased CBR, TTP, and overall survival compared with tamoxifen alone in postmenopausal women with AI-resistant mBC.",1,1,1,1
22511495,"High-dose imatinib induction followed by standard-dose maintenance in pre-treated chronic phase chronic myeloid leukemia patients--final analysis of a randomized, multicenter, phase III trial.BACKGROUND: Previous data suggest that the response of chronic myeloid leukemia cells to imatinib is dose-dependent.The potential benefit of initial dose intensification of imatinib in pre-treated patients with chronic phase chronic myeloid leukemia remains unknown.DESIGN AND METHODS: Two hundred and twenty-seven pre-treated patients with chronic myeloid leukemia in chronic phase were randomly assigned to continuous treatment with a standard dose of imatinib (400 mg/day; n=113) or to 6 months of high-dose induction with imatinib (800 mg/day) followed by a standard dose of imatinib as maintenance therapy (n=114).RESULTS: The rates of major and complete cytogenetic responses were significantly higher in the high-dose arm than in the standard-dose arm at both 3 and 6 months (major cytogenetic responses: 36.8% versus 21.2%, P=0.01 and 50.0% versus 34.5%, P=0.018; complete cytogenetic responses: 22.8% versus 6.2%, P<0.001 and 40.4% versus 16.8%, P<0.001) on the basis of an intention-to-treat analysis.At 12 months, the difference between treatment arms remained statistically significant for complete cytogenetic responses (40.4% versus 24.8%, P=0.012) but not for major cytogenetic responses (49.1% versus 44.2%, P=0.462).The rate of major molecular responses was also significantly better at 3 and 6 months in the high-dose arm (month 3: 14.9% versus 3.5%, P=0.003; month 6: 32.5% versus 8.8%, P<0.001).Overall and progression-free survival rates were comparable between arms, but event-free survival was significantly worse in the high-dose arm (P=0.014).CONCLUSIONS: Standard-dose imatinib remains the standard of care for pre-treated patients with chronic phase chronic myeloid leukemia (Clinicaltrials.gov identifier: NCT00327262).",1,1,1,1
22610153,"Extended benefit from sequential administration of docetaxel after standard fluorouracil, epirubicin, and cyclophosphamide regimen for node-positive breast cancer: the 8-year follow-up results of the UNICANCER-PACS01 trial.PURPOSE: The initial report from the Programme Action Concertee Sein (PACS) PACS01 trial demonstrated a benefit at 5 years for disease-free survival (DFS) and overall survival (OS) rates with the sequential administration of docetaxel after FEC100 (fluorouracil 500 mg/m(2), epirubicin 100 mg/m(2), and cyclophosphamide 500 mg/m(2)) for patients with node-positive, operable breast cancer.We evaluate here the impact of this regimen at 8 years.PATIENTS AND METHODS: Between June 1997 and March 2000, a total of 1,999 patients (age <65) with localized, resectable, non-pretreated, unilateral breast cancer were randomly assigned to receive either standard FEC100 for 6 cycles or 3 cycles of FEC100 followed by 3 cycles of 100 mg/m(2) docetaxel (FEC-D), both given every 21 days.Radiotherapy was mandatory after conservative surgery and tamoxifen was given for 5 years to hormone receptor (HR)-positive patients.Five-year DFS was the trial's main endpoint.Updated 8-year survival data are presented.RESULTS: With a median follow-up of 92.8 months, 639 patients experienced at least one event.A total number of 383 deaths were registered.Eight-year DFS rates were 65.8% with FEC alone and 70.2% with FEC-D. OS rates at 8 years were 78% with FEC alone and 83.2% with FEC-D. Cox regression analysis adjusted for age and number of positive nodes showed a 15% reduction in the relative risk of relapse and a 25% reduction in the relative risk of death in favor of FEC-D. Significant relative risk reductions were observed in the HR-positive, HER2-positive, and Ki67 >/=20% subpopulations.CONCLUSION: Benefits for DFS and OS rates with the sequential FEC-D regimen are fully confirmed at 8 years.",1,1,1,1
23019943,"[Curative effect of 3D-CRT combined with gemcitabine concurrently with addition of Kanglaite Injection in treatment of locally advanced pancreatic].OBJECTIVE: To explore the efficacy of concurrent chemoradiotherapy combined with Kanglaite Injection (KI) for locally advanced pancreatic carcinoma patients.METHODS: Totally 50 patients unsuitable for surgery were randomly assigned to the treatment group and the control group, 25 in each group.Patients in the control group were treated with gemcitabine and concurrent 3D-CRT, while those in the treatment group were also treated with intravenous injection of KI (at 100 mL/d) for 21 successive days, 28 days as one cycle, two cycles with one week interval.The short-term curative effect, the survival time, the improvement of symptoms, the tumor markers, and adverse reactions were respectively observed for two years.RESULTS: The short-term curative effective rate (CR + PR) was 52.17% (12/23), and the disease control rate (CR + PR + SD) was 95.65% (22/23) in the treatment group.The short-term curative effective rate (CR + PR) was 41.67% (10/24), and the disease control rate (CR + PR + SD) was 87.50% (21/24) in the control group.There was no statistical difference between the two groups (P > 0.05).The 2-year survival rate was 34.78% (8/23) in the treatment group, better than that in the control group (25.00%, 6/24).The median survival time was 17.2 months in the treatment group and 12.4 months in the control group with statistical difference (P < 0.05).The response rate of pain relief and weight gain were 75.00% and 82.61% in the treatment group respectively, and they were 50.00% and 54.67% in the control group respectively, showing statistical difference between the two groups (P < 0.05).After treatment, the levels of CA19-9 (U/mL) and CEA (ng/mL) were respectively reduced to 118.00 +/- 78.89 and 7.41 +/- 2.37 respectively in the treatment group, showing statistical difference when compared with those of the control group (being 216.00 +/- 153.23 and 12.25 +/- 7.53 respectively, P < 0.05).CONCLUSION: The concurrent chemoradiotherapy com- bined with KI for locally advanced pancreatic carcinoma patients obtained better results.",1,1,1,1
22674529,"A phase 3 study of induction treatment with concurrent chemoradiotherapy versus chemotherapy before surgery in patients with pathologically confirmed N2 stage IIIA nonsmall cell lung cancer (WJTOG9903).BACKGROUND: This study sought to ascertain whether induction-concurrent radiotherapy added to chemotherapy could improve the survival of patients undergoing surgery for stage IIIA N2 nonsmall cell lung cancer (NSCLC).METHODS: Patients with pathologically proven N2 disease were randomized to receive either induction chemotherapy (docetaxel 60 mg/m(2) and carboplatin AUC [area under the receiver operating characteristic curve] = 5 for 2 cycles) plus concurrent radiation therapy (40 Gy) followed by surgery (CRS arm) or induction chemotherapy followed by surgery (CS arm).They subsequently underwent pulmonary resection when possible.RESULTS: Sixty patients were randomly assigned between December 2000 and August 2005.The study was prematurely terminated in January 2006 because of slow accrual.The most common toxicity was grade 3 or 4 leukopenia in 92.9% of patients in the CRS arm and 46.4% in the CS arm.Induction therapy was generally well tolerated, and there were no treatment-related deaths in either arm.Downstaging in the CS arm and CRS arm was 21% and 40%, respectively.The progression-free survival (PFS) and overall survival (OS) in the CS arm were 9.7 months and 29.9 months (PFS, hazard ratio [HR] = 0.68, P = .187), and those in the CRS arm were 12.4 months and 39.6 months (OS, HR = 0.77, P = .397), respectively.The PFS with and without downstaging was 55.0 and 9.4 months, respectively (HR = 3.39, P = .001).The OS with and without downstaging was 63.3 and 29.5 months, respectively (HR = 2.62, P = .021).CONCLUSIONS: The addition of radiotherapy to induction chemotherapy conferred better local control without significant adverse events.Tumor downstaging is important for prolonging the OS in patients with stage IIIA (N2) NSCLC.",1,1,1,1
22408263,"MYC+ diffuse large B-cell lymphoma is not salvaged by classical R-ICE or R-DHAP followed by BEAM plus autologous stem cell transplantation.Approximately 5-10% of diffuse large B-cell lymphomas (DLBCL) harbor a 8q24/MYC rearrangement (MYC(+)).We determined the prognostic significance of MYC rearrangement in patients with relapsed/refractory DLBCL prospectively treated by R-ICE or R-DHAP followed by high-dose therapy and autologous stem cell transplantation.Twenty-eight (17%) of the 161 patients analyzed presented a MYC(+) rearrangement, targeted as either simple hit (25%) or complex hits (n=75%) including MYC/BCL2, MYC/BCL6, and MYC/BCL2/BCL6.Results were statistically highly concordant in matched primary and relapsed biopsies (n = 45).Compared to the MYC(-) DLBCL patients, the MYC(+) DLBCL patients presented with a more elevated lactico-deshydrogenase level (P = .0006) and a more advanced age adjusted international prognostic index (P = .0039).The 4-year PFS and OS were significantly lower in the MYC(+) DLBCL patients than those in the MYC(-) DLBCL patients, with rates of 18% vs 42% (P = .0322), and of 29% vs 62% (P = .0113), respectively.Type of treatment, R-DHAP or R-ICE, had no impact on survivals, with 4-year PFS rates of 17% vs 19% and 4-year OS rates of 26% vs 31%.In conclusion, MYC rearrangement is an early event in DLBCL.MYC(+) DLBCL patients have a significant inferior prognosis than MYC(-) DLBCL patients.Their outcome was not influenced by the proposed salvage therapy.",0,0,0,0
22585294,"The impact of bladder neck mucosal eversion during open radical prostatectomy on bladder neck stricture and urinary extravasation.PURPOSE: To determine whether the bladder neck mucosal eversion (BNM-eversion) during radical retropubic prostatectomy (RRP) reduces the risk of bladder neck stricture (BNS) and of peri-anastomotic extravasation (PAE) in postoperative cystography.METHODS: Two hundred and eleven patients with clinically localized prostate cancer underwent RRP and were prospectively randomized into patients with BNM-eversion (group I) and without BNM-eversion (group II).All patients underwent an evaluation of PAE by retrograde cystography on postoperative day 8.We assessed BNS after 6 months.RESULTS: Ninety-two patients with and 113 patients without BNM-eversion were included.There was no significant difference in baseline characteristics, including age, TNM-classification, Gleason score, PSA, prostate volume, and blood loss in both groups.A complete follow-up of 6 months for BNS was available for 188 patients (89.1 %).Sixteen BNS out of 188 patients were recorded, 4.7 % (n = 4) in group I and 11.7 % (n = 12) in group II (p = 0.09).Data from 205 out of 211 patients were available for the evaluation of the extravasation by cystography.Peri-anastomotic extravasation was detectable in 11.96 %, (11/205) in group I and in 21.24 % (24/205) in group II (p = 0.08).CONCLUSION: BNM-eversion does not have a positive influence on the prevention of bladder neck strictures.Peri-anastomotic extravasation detected by cystography does not correlate with a formation of bladder neck stricture.",0,0,0,0
22473163,"Multicenter randomized phase II clinical trial comparing neoadjuvant oxaliplatin, capecitabine, and preoperative radiotherapy with or without cetuximab followed by total mesorectal excision in patients with high-risk rectal cancer (EXPERT-C).PURPOSE: To evaluate the addition of cetuximab to neoadjuvant chemotherapy before chemoradiotherapy in high-risk rectal cancer.PATIENTS AND METHODS: Patients with operable magnetic resonance imaging-defined high-risk rectal cancer received four cycles of capecitabine/oxaliplatin (CAPOX) followed by capecitabine chemoradiotherapy, surgery, and adjuvant CAPOX (four cycles) or the same regimen plus weekly cetuximab (CAPOX+C).The primary end point was complete response (CR; pathologic CR or, in patients not undergoing surgery, radiologic CR) in patients with KRAS/BRAF wild-type tumors.Secondary end points were radiologic response (RR), progression-free survival (PFS), overall survival (OS), and safety in the wild-type and overall populations and a molecular biomarker analysis.RESULTS: One hundred sixty-five eligible patients were randomly assigned.Ninety (60%) of 149 assessable tumors were KRAS or BRAF wild type (CAPOX, n = 44; CAPOX+C, n = 46), and in these patients, the addition of cetuximab did not improve the primary end point of CR (9% v 11%, respectively; P = 1.0; odds ratio, 1.22) or PFS (hazard ratio [HR], 0.65; P = .363).Cetuximab significantly improved RR (CAPOX v CAPOX+C: after chemotherapy, 51% v 71%, respectively; P = .038; after chemoradiation, 75% v 93%, respectively; P = .028) and OS (HR, 0.27; P = .034).Skin toxicity and diarrhea were more frequent in the CAPOX+C arm.CONCLUSION: Cetuximab led to a significant increase in RR and OS in patients with KRAS/BRAF wild-type rectal cancer, but the primary end point of improved CR was not met.",1,1,1,1
22565002,"Randomized phase II trial of everolimus in combination with tamoxifen in patients with hormone receptor-positive, human epidermal growth factor receptor 2-negative metastatic breast cancer with prior exposure to aromatase inhibitors: a GINECO study.PURPOSE: Cross-talk between signal transduction pathways likely contributes to hormone resistance in metastatic breast cancer (mBC).Everolimus, an oral inhibitor of the mammalian target of rapamycin, has restored sensitivity in endocrine-resistance models and shown anticancer activity in early-phase mBC clinical trials.This analysis evaluated efficacy and safety of everolimus in combination with tamoxifen in patients with mBC resistant to aromatase inhibitors (AIs).PATIENTS AND METHODS: This open-label, phase II study randomly assigned postmenopausal women with hormone receptor-positive, human epidermal growth factor receptor 2-negative, AI-resistant mBC to tamoxifen 20 mg/d plus everolimus 10 mg/d (n = 54) or tamoxifen 20 mg/d alone (n = 57).Randomization was stratified by primary and secondary hormone resistance.Primary end point was clinical benefit rate (CBR), defined as the percentage of all patients with a complete or partial response or stable disease at 6 months.No formal statistical comparison between groups was planned.RESULTS: The 6-month CBR was 61% (95% CI, 47 to 74) with tamoxifen plus everolimus and 42% (95% CI, 29 to 56) with tamoxifen alone.Time to progression (TTP) increased from 4.5 months with tamoxifen alone to 8.6 months with tamoxifen plus everolimus, corresponding to a 46% reduction in risk of progression with the combination (hazard ratio [HR], 0.54; 95% CI, 0.36 to 0.81).Risk of death was reduced by 55% with tamoxifen plus everolimus versus tamoxifen alone (HR, 0.45; 95% CI, 0.24 to 0.81).The main toxicities associated with tamoxifen plus everolimus were fatigue (72% v 53% with tamoxifen alone), stomatitis (56% v 7%), rash (44% v 7%), anorexia (43% v 18%), and diarrhea (39% v 11%).CONCLUSION: This study suggests that tamoxifen plus everolimus increased CBR, TTP, and overall survival compared with tamoxifen alone in postmenopausal women with AI-resistant mBC.",1,1,1,1
22498745,"Bortezomib-thalidomide-dexamethasone is superior to thalidomide-dexamethasone as consolidation therapy after autologous hematopoietic stem cell transplantation in patients with newly diagnosed multiple myeloma.In a randomized, phase 3 study, superior complete/near-complete response (CR/nCR) rates and extended progression-free survival were demonstrated with bortezomib-thalidomide-dexamethasone (VTD) versus thalidomide-dexamethasone (TD) as induction therapy before, and consolidation after, double autologous stem cell transplantation for newly diagnosed myeloma patients (intention-to-treat analysis; VTD, n = 236; TD, n = 238).This per-protocol analysis (VTD, n = 160; TD, n = 161) specifically assessed the efficacy and safety of consolidation with VTD or TD.Before starting consolidation, CR/nCR rates were not significantly different in the VTD (63.1%) and TD arms (54.7%).After consolidation, CR (60.6% vs 46.6%) and CR/nCR (73.1% vs 60.9%) rates were significantly higher for VTD-treated versus TD-treated patients.VTD consolidation significantly increased CR and CR/nCR rates, but TD did not (McNemar test).With a median follow-up of 30.4 months from start of consolidation, 3-year progression-free survival was significantly longer for the VTD group (60% vs 48% for TD).Grade 2 or 3 peripheral neuropathy (8.1% vs 2.4%) was more frequent with VTD (grade 3, 0.6%) versus TD consolidation.The superior efficacy of VTD versus TD as induction was retained despite readministration as consolidation therapy after double autologous transplantation.VTD consolidation therapy significantly contributed to improved clinical outcomes observed for patients randomly assigned to the VTD arm of the study.The study is registered at www.clinicaltrials.gov as #NCT01134484.",0,0,0,0
